id,url,manufacturer,model,rated_power_kw,rotor_diameter_m,rotor_area_m2,num_blades,hub_height_m,cut_in_wind_speed_ms,cut_out_wind_speed_ms,rated_wind_speed_ms,rotor_speed_rpm,generator_type,gearbox_type,tower_type,nacelle_weight_kg,rotor_weight_kg,tower_weight_kg,blade_weight_kg,total_weight_kg,voltage_v,frequency_hz,installation,offshore,onshore
2489,https://en.wind-turbine-models.com/turbines/2489-airgenesis-two-rotor-turbine,Airgenesis,Airgenesis two rotor turbine,11000,103,160664,6,78,3,40,16.7,,permanent magnet,,I-Beam & Tubular steel,,,,,,,50/60 Hz,,No,Yes
1449,https://en.wind-turbine-models.com/turbines/1449-aliz-o-1000-60,Alizéo,Alizéo 1000/60,1000,60,2827,3,50,3.6,20,12.5,26,synchronous permanent,,steel tube,,,,,,690,50 Hz,,No,Yes
145,https://en.wind-turbine-models.com/turbines/145-allgaier-we-10-g6,Allgaier,Allgaier WE 10/G6,6,10,78,3,9.89,2.5,,9,86,,,variable,500,200,600,,,220,,,No,Yes
144,https://en.wind-turbine-models.com/turbines/144-allgaier-stgw-34,Allgaier,Allgaier StGW-34,100,34,872,2,22.3,3.7,,9.5,36,,,3 x Turmrohre,6800,1800,4500,,,,,,No,Yes
363,https://en.wind-turbine-models.com/turbines/363-alstom-eco-80-1670,Alstom,Alstom ECO 80/1670,1670,80,5027,3,80,3,25,,17.9,Asynchronus,,Steel tube,,,,,,690,50 Hz,,No,Yes
795,https://en.wind-turbine-models.com/turbines/795-alstom-eco-80-2000,Alstom,Alstom ECO 80/2000,2000,80,5027,3,70,3,25,,18.4,Asynchronus,,Steel tube,,,,,,690,50 Hz,,No,Yes
794,https://en.wind-turbine-models.com/turbines/794-alstom-eco-86,Alstom,Alstom ECO 86,1670,86,5741,3,80,3,25,,17.2,Asynchronus,,Steel tube,,,,,,690,50 Hz,,No,Yes
793,https://en.wind-turbine-models.com/turbines/793-alstom-eco-100,Alstom,Alstom ECO 100,3000,100,7980,3,75,3,25,12,14.2,Asynchronus,,Steel tube,,,,,,1000,50 Hz,,No,Yes
792,https://en.wind-turbine-models.com/turbines/792-alstom-eco-110,Alstom,Alstom ECO 110,3000,110,9469,3,75,3,25,11.5,13.6,Asynchronus,,Steel tube,,,,,,1000,50 Hz,,No,Yes
629,https://en.wind-turbine-models.com/turbines/629-alstom-eco-122-2700,Alstom,Alstom ECO 122/2700,2700,122,11689,3,89,3,34,10,12.3,asynchronous DFIG,,Steel tube,,,,,,1000,50/60 Hz,,No,Yes
930,https://en.wind-turbine-models.com/turbines/930-alstom-eco-122-3000,Alstom,Alstom ECO 122/3000,3000,122,11689,3,89,3,25,10.5,12.3,Asynchronus,,Steel tube/Hybrid,,,,,,,50/60 Hz,,No,Yes
139,https://en.wind-turbine-models.com/turbines/139-alstom-haliade-150,Alstom,Alstom Haliade 150,6000,150,17860,3,100,3,25,,11.5,Synchronous permanent,,Steel tube,,,,,,900,50 Hz,,Yes,Yes
1026,https://en.wind-turbine-models.com/turbines/1026-ae-italia-stoma-st-k60-d21,AE-Italia,AE-Italia STOMA ST-K60/D21,60,21.3,356,3,33.5,2.5,25,8,55,,,steel tube,,,,,,400,50 Hz,,No,Yes
1059,https://en.wind-turbine-models.com/turbines/1059-amperax-a3000,Amperax,Amperax A3000,3000,116,10568,3,92,3,23,11.3,,synchronus permanent,,92m: steel tube; 122/142m: hybrid,134000,74000,1610000,,,,50 Hz,,No,Yes
596,https://en.wind-turbine-models.com/turbines/596-amsc-wt1650df,AMSC,AMSC wt1650df,1650,82,5281,3,70,3.5,20,12,,Double Fed Asyn,,Steel tube,,,,,,,60 Hz,,No,Yes
